State,District,Latitude,Longitude,Population,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,sex_ratio,literacy_rate
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,565223,208011,167812,175289,87444,87845,2584,1292,1292,299726,162639,137087,255097,44629,265497,117304,118278,5343,58801,521658,32702,10301,83,39,38,49390,135751,1507,188592,85210,106751,85101,71650,41447,44025,291371,158218,115151,2259,32178,100.0,66.0
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,1618345,608776,501769,284804,141428,143376,1283,647,636,761693,471099,290594,640248,121445,856652,209270,305149,13941,233333,1428784,114194,72850,119,81,32,82967,354493,4494,503941,97231,283299,270046,251855,121706,111731,835853,470428,311175,7882,110324,101.0,69.0
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,1353445,536487,442459,249008,125015,123993,1105,559,546,602977,392751,210226,486150,116827,750468,173767,153874,25228,250108,1047411,208038,91139,154,86,29,100484,291400,5172,417239,246909,293886,236511,189132,105978,97405,708322,389764,252888,5524,49605,98.0,72.0
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,3482056,1285107,1000455,580512,294062,286450,119369,60489,58880,1694160,1083797,610363,1561030,133130,1787896,257004,454210,141503,841443,3326357,95487,53841,412,174,992,448968,835377,20660,1170352,188672,571061,518763,457866,242306,296399,1737345,1029479,713294,30660,352121,95.0,66.0
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,1339101,526304,433440,227746,113599,114147,790,394,396,620171,391305,228866,461102,159069,718930,141003,199563,14656,264949,1186078,74310,75481,150,80,109,113822,314270,5773,452417,101778,216931,236700,199263,103903,115894,666218,391356,280462,8222,91250,100.0,72.0
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,2405890,944264,846734,455062,225859,229203,3561,1739,1822,974079,680483,293596,834484,139595,1431811,129913,415361,31200,397605,2075870,190814,133971,231,795,1256,223044,555582,13495,753372,138375,431983,419605,373111,178126,222410,1193095,712017,499235,17231,161750,103.0,74.0
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,1245899,479403,390677,258200,129900,128300,1835,954,881,591642,368900,222742,530591,61051,654257,38367,315161,14939,223175,1148990,56751,37574,152,79,28,147529,312310,4667,410623,90590,219747,213496,156676,95231,101147,618923,373564,252267,6607,58034,99.0,70.0
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,3728104,1495711,1296010,821646,410526,411120,47243,23692,23551,1538054,1103563,434491,1247918,290136,2190050,73444,270586,58240,1135784,3325823,143093,233633,1422,951,3693,621907,909400,75634,1119433,181452,461918,600731,622789,303091,451321,1925296,1154775,643614,54505,363741,99.0,75.0
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,1264277,503085,443386,430927,214717,216210,3034,1466,1568,540168,369853,170315,412425,127743,724109,69883,295188,10440,164657,1132785,96092,33192,258,151,279,109580,303114,4416,408179,138960,250163,243773,203450,103908,99082,627880,377118,257116,6790,72916,102.0,75.0
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,2464875,909803,717010,565329,282615,282714,90954,45956,44998,1238177,738995,499182,970072,268105,1226698,292641,525063,46720,373753,2294369,91636,66987,232,157,7898,176242,549077,6445,710163,203879,442688,423135,343955,174560,158041,1301347,683904,477668,7851,138956,99.0,66.0
